id	Cancer1	Cancer2	Normal1	Normal2
ENSG00000015171	44291.1413838	57504.0339394	44819.5962766	44175.9820668
ENSG00000015285	22155.5312652	4233.68218325	11934.319862	12460.3600937
ENSG00000015413	4480.33221791	7088.59261951	380.489507249	4381.31734316
ENSG00000015475	8151.93298919	5735.02609203	4569.48226113	14080.1541581
ENSG00000015479	789053.142874	720182.744581	607705.711259	996894.281993
ENSG00000015520	64.5299626262	189.06091215	115.151326606	94.3606912364
ENSG00000015532	17758.1970906	20742.0454309	10331.3272307	15898.5778907
ENSG00000015568	77243.5331787	150979.682829	338286.80162	305334.874393
ENSG00000015592	155.737923383	216.833181001	211.646225218	182.371541608
ENSG00000015676	108990.566686	110007.287531	65002.4643258	43905.2235833
ENSG00000016082	0.432926581383	0.533633440549	0.569971098615	0.598688583678
ENSG00000016391	11718.2099643	7419.84207003	1286.67288178	2384.18189679
ENSG00000016402	0.248245930869	0.239604328833	0.230107358185	0.23278881484
ENSG00000016490	0.44877643211	0.433232621126	0.797654236771	0.430112976845
ENSG00000016602	5.16625738073	142.977599245	16.0230585662	7.74002454145
ENSG00000016864	117817.073481	39966.762721	38742.8897814	30909.6945246
ENSG00000017260	233790.243105	75948.2192783	41552.538618	55732.451509
ENSG00000017427	212603.861646	162902.377346	162158.577722	54233.6961875
ENSG00000017483	62133.5208385	35924.862652	28319.9606687	43205.7671568
ENSG00000017797	43805.3226184	34892.1168249	13114.8191755	44929.7530785
ENSG00000018189	44713.0052654	28765.1718021	63453.6832059	43394.0655412
ENSG00000018236	601.511438116	1386.6141626	1291.77085964	800.568865401
ENSG00000018280	1923.49255647	2688.06251573	3208.46692971	3130.34418105
ENSG00000018408	615.767899496	632.570641656	1770.35696786	711.610792838
ENSG00000018510	33527.494128	24101.9524609	24244.58474	10915.5136028
ENSG00000018607	0.148960937151	0.146641337245	0.143384577231	0.144778821657
ENSG00000018610	11616.1803532	8458.58122356	10297.715108	10242.9729954
ENSG00000018625	71.4077297938	136.992933798	124.396303906	83.5341309619
ENSG00000018699	7021.50823486	7489.34675696	7047.09251518	4286.65830034
ENSG00000018869	24.4498237005	372.090726573	351.981461821	105.155937754
